Date,Total Value
2022-01-24,18344829.25867693
2022-01-25,18076683.24676851
2022-01-26,17973243.584421594
2022-02-07,18105630.789551087
2022-02-08,17974154.955213953
2022-02-09,18092274.130986415
2022-02-10,18236188.71968794
2022-02-11,18233733.810625963
2022-02-14,17929895.254148714
2022-02-15,17811022.71727568
2022-02-16,18070299.82286775
2022-02-17,18130338.45532664
2022-02-18,18034656.102578916
2022-02-21,18000538.79507468
2022-02-22,17877379.03495297
2022-02-23,17910859.552177195
2022-02-24,17493768.73620216
2022-02-25,17502623.02130488
2022-03-01,17602524.202814512
2022-03-02,17464383.009737894
2022-03-03,17493266.46216638
2022-03-04,17426168.701910928
2022-03-07,16980279.97023854
2022-03-08,16699415.3243751
2022-03-09,16793407.12053849
2022-03-10,16978428.171796508
2022-03-11,16803862.5681018
2022-03-14,16764458.08674094
2022-03-15,16424915.342454977
2022-03-16,16503891.792774918
2022-03-17,16981169.461118646
2022-03-18,17051282.93744476
2022-03-21,17082615.90482611
2022-03-22,17126298.25551317
2022-03-23,17321575.428306203
2022-03-24,17519649.312240507
2022-03-25,17641210.123033024
2022-03-28,17488275.76857233
2022-03-29,17553869.16040361
2022-03-30,17737898.989188302
2022-03-31,17764193.847688414
2022-04-01,17600684.9840631
2022-04-06,17343186.859378655
2022-04-07,17050830.24466735
2022-04-08,17120287.391585097
2022-04-11,16884361.67591214
2022-04-12,16886185.707312282
2022-04-13,17170060.231294766
2022-04-14,17197045.601953864
2022-04-15,16931802.21788681
2022-04-18,16885974.11300906
2022-04-19,17005179.978951756
2022-04-20,17150144.675766293
2022-04-21,17123414.1947905
2022-04-22,16947692.488467924
2022-04-25,16645087.167805625
2022-04-26,16707708.118778694
2022-04-27,16377631.03791863
2022-04-28,16397161.99122523
2022-04-29,16527973.78255749
2022-05-03,16370549.091697082
2022-05-04,16388010.901634712
2022-05-05,16518688.084720628
2022-05-06,16277350.166473009
2022-05-09,16097123.94879338
2022-05-10,16107072.919145333
2022-05-11,16159865.770258315
2022-05-12,15798864.084834378
2022-05-13,15913941.241764704
2022-05-16,16144647.342252454
2022-05-17,16364907.015226847
2022-05-18,16612573.228952698
2022-05-19,16472469.374866242
2022-05-20,16603713.482369026
2022-05-23,16483066.56310207
2022-05-24,16339304.893110504
2022-05-25,16442248.29864795
2022-05-26,16331602.075228114
2022-05-27,16758107.491214009
2022-05-30,16956905.649188157
2022-05-31,17085120.273273937
2022-06-01,17004652.99773884
2022-06-02,16884001.81865043
2022-06-06,16766581.774288602
2022-06-07,16706100.620766018
2022-06-08,16907367.26581779
2022-06-09,16927647.059900388
2022-06-10,16861838.630441226
2022-06-13,16451669.222833922
2022-06-14,16406469.306053115
2022-06-15,16306975.855816567
2022-06-16,16239178.005215436
2022-06-17,16175407.609660843
2022-06-20,15972789.683506045
2022-06-21,16171716.23131693
2022-06-22,15904459.339595787
2022-06-23,15874095.248270959
2022-06-24,15876592.152206935
2022-06-27,16143392.183601648
2022-06-28,16136326.247170089
2022-06-29,16112643.636397649
2022-06-30,15622559.28139364
2022-07-01,15056572.468121184
2022-07-04,14856345.50517968
2022-07-05,14866152.911132054
2022-07-06,14645036.687512564
2022-07-07,15063484.502163311
2022-07-08,15210509.118093368
2022-07-11,15095650.389114015
2022-07-12,14932066.185610048
2022-07-13,15237611.949603355
2022-07-14,15392778.44672095
2022-07-15,15628051.448486947
2022-07-18,15667951.007417558
2022-07-19,15576603.891862523
2022-07-20,15694763.235387918
2022-07-21,15896945.53016176
2022-07-22,15971161.662676336
2022-07-25,15886500.378345426
2022-07-26,15829067.931032138
2022-07-27,15914682.302664818
2022-07-28,15974601.445633164
2022-07-29,16144592.589335756
2022-08-01,16027223.16682715
2022-08-02,15780634.988548893
2022-08-03,15873029.024497703
2022-08-04,15938318.968916021
2022-08-05,16228456.594829911
2022-08-08,16332596.597217534
2022-08-09,16259190.216626069
2022-08-10,16063648.495280787
2022-08-11,16246623.611128753
2022-08-12,16335093.082300777
2022-08-15,16592805.328331733
2022-08-16,16694226.761937901
2022-08-17,16692317.691992763
2022-08-18,16859437.638319246
2022-08-19,16873737.749569234
2022-08-22,16793693.107578915
2022-08-23,16643933.54249671
2022-08-24,16589972.062884845
2022-08-25,16722964.027652659
2022-08-26,16746390.855618505
2022-08-29,16543577.605150588
2022-08-30,16570197.581462665
2022-08-31,16595093.76066795
2022-09-01,16272925.407089973
2022-09-02,16318191.466729999
2022-09-05,16363125.563214624
2022-09-06,16254542.625133812
2022-09-07,15952780.643387076
2022-09-08,16161486.69830785
2022-09-12,16278536.855298245
2022-09-13,16491969.81137521
2022-09-14,16247314.245251233
2022-09-15,16137252.671885166
2022-09-16,15996269.656073567
2022-09-19,15926149.866683908
2022-09-20,16045946.111957958
2022-09-21,15948195.366047697
2022-09-22,15880698.168205785
2022-09-23,15582646.95365604
2022-09-26,15268412.821778243
2022-09-27,15312853.571060749
2022-09-28,15015335.700028455
2022-09-29,14946092.748510804
2022-09-30,14814024.973271994
2022-10-03,14746120.264345238
2022-10-04,15103114.021469463
2022-10-05,15361307.95689495
2022-10-06,15416862.776099281
2022-10-07,15204269.207782436
2022-10-11,14352444.131331533
2022-10-12,14381228.652835011
2022-10-13,14217278.161291761
2022-10-14,14513786.33861332
2022-10-17,14263606.940899694
2022-10-18,14402125.708489927
2022-10-19,14152564.47140681
2022-10-20,14140761.255472628
2022-10-21,13798220.914752644
2022-10-24,13745574.597211694
2022-10-25,13524813.79384372
2022-10-26,13657068.291889105
2022-10-27,13943292.7556742
2022-10-28,13966499.6270517
2022-10-31,14083558.78001274
2022-11-01,14116516.851795845
2022-11-02,14162039.927306587
2022-11-03,14160908.008129304
2022-11-04,14199131.041401388
2022-11-07,14208415.57217988
2022-11-08,14317915.906032529
2022-11-09,14487270.18813273
2022-11-10,14335690.47751809
2022-11-11,14916475.986853829
2022-11-14,15041694.151333155
2022-11-15,15415638.31791362
2022-11-16,15610963.156677332
2022-11-17,15669788.6080131
